,YYYYMMDDHH,average windspeed (m/s),windspeed previous 10 minuten (m/s),highest windspeed (m/s),temperature in degrees Celcius,global radiation (in J/m^2),duration of sunshine (h),cloud cover (-),relative humidity (in percentages),air pressure (Pa),yield solar panel (kWh)
0,2024-01-01 01:00:00,120,120,180,75,0.0,0.0,,91,9951,0.0
1,2024-01-01 02:00:00,90,100,150,74,0.0,0.0,,91,9958,0.0
2,2024-01-01 03:00:00,100,110,160,92,0.0,0.0,,79,9959,0.0
3,2024-01-01 04:00:00,110,110,190,91,0.0,0.0,,80,9966,0.0
4,2024-01-01 05:00:00,100,100,150,95,0.0,0.0,,76,9973,0.0
5,2024-01-01 06:00:00,120,120,170,92,0.0,0.0,,73,9978,0.0
6,2024-01-01 07:00:00,130,120,180,91,0.0,0.0,,74,9989,0.0
7,2024-01-01 08:00:00,130,130,180,92,0.0,0.0,,73,10001,0.0
8,2024-01-01 09:00:00,130,140,190,90,30000.0,0.0,,74,10012,0.011004349927639972
9,2024-01-01 10:00:00,130,110,190,93,190000.0,0.0,,74,10022,0.044928721503934524
10,2024-01-01 11:00:00,120,120,170,93,480000.0,0.7000000000000001,,73,10026,0.08996123934331506
11,2024-01-01 12:00:00,120,120,190,89,270000.0,0.0,,74,10032,0.04235870637013028
12,2024-01-01 13:00:00,120,120,160,90,510000.0,0.30000000000000004,,71,10035,0.06598407506030306
13,2024-01-01 14:00:00,110,110,160,91,330000.0,0.30000000000000004,,70,10040,0.02985320364291057
14,2024-01-01 15:00:00,100,80,160,86,140000.0,0.30000000000000004,,72,10044,0.0026426570684138393
15,2024-01-01 16:00:00,80,80,120,86,20000.0,0.0,,69,10047,0.0022666564321664525
16,2024-01-01 17:00:00,70,70,110,83,0.0,0.0,,71,10047,0.0
17,2024-01-01 18:00:00,60,80,110,77,0.0,0.0,,84,10045,0.0
18,2024-01-01 19:00:00,80,80,110,78,0.0,0.0,,78,10041,0.0
19,2024-01-01 20:00:00,80,80,130,77,0.0,0.0,,78,10032,0.0
20,2024-01-01 21:00:00,70,80,110,72,0.0,0.0,,84,10023,0.0
21,2024-01-01 22:00:00,90,100,130,72,0.0,0.0,,91,10007,0.0
22,2024-01-01 23:00:00,110,120,140,73,0.0,0.0,,93,9988,0.0
23,2024-01-02 00:00:00,110,120,150,76,0.0,0.0,,94,9967,0.0
24,2024-01-02 01:00:00,130,130,180,79,0.0,0.0,,94,9943,0.0
25,2024-01-02 02:00:00,130,130,170,81,0.0,0.0,,94,9919,0.0
26,2024-01-02 03:00:00,120,110,160,85,0.0,0.0,,96,9902,0.0
27,2024-01-02 04:00:00,110,110,150,97,0.0,0.0,,96,9896,0.0
28,2024-01-02 05:00:00,110,130,180,111,0.0,0.0,,96,9898,0.0
29,2024-01-02 06:00:00,130,120,180,114,0.0,0.0,,92,9906,0.0
30,2024-01-02 07:00:00,110,110,160,110,0.0,0.0,,93,9912,0.0
31,2024-01-02 08:00:00,110,90,150,111,0.0,0.0,,91,9917,0.0
32,2024-01-02 09:00:00,90,90,140,111,60000.0,0.0,,93,9912,0.021953765865442225
33,2024-01-02 10:00:00,90,90,140,117,170000.0,0.0,,89,9910,0.04014482189022344
34,2024-01-02 11:00:00,70,90,130,116,80000.0,0.0,,93,9899,0.014980415786883496
35,2024-01-02 12:00:00,90,80,120,113,80000.0,0.0,,95,9884,0.012545351630572224
36,2024-01-02 13:00:00,90,100,130,109,90000.0,0.0,,96,9862,0.01165037142516287
37,2024-01-02 14:00:00,100,100,140,115,60000.0,0.0,,95,9848,0.005457497440453283
38,2024-01-02 15:00:00,100,120,150,115,20000.0,0.0,,95,9826,0.0003775224383448342
39,2024-01-02 16:00:00,130,130,170,116,10000.0,0.0,,94,9815,0.0011333282160832263
40,2024-01-02 17:00:00,140,160,240,124,0.0,0.0,,84,9806,0.0
41,2024-01-02 18:00:00,170,170,270,117,0.0,0.0,,77,9805,0.0
42,2024-01-02 19:00:00,170,180,270,114,0.0,0.0,,78,9802,0.0
43,2024-01-02 20:00:00,180,180,280,114,0.0,0.0,,78,9810,0.0
44,2024-01-02 21:00:00,180,150,260,109,0.0,0.0,,80,9820,0.0
45,2024-01-02 22:00:00,180,210,260,101,0.0,0.0,,80,9834,0.0
46,2024-01-02 23:00:00,160,160,240,96,0.0,0.0,,90,9845,0.0
47,2024-01-03 00:00:00,170,170,250,107,0.0,0.0,,78,9858,0.0
48,2024-01-03 01:00:00,160,150,240,108,0.0,0.0,,77,9867,0.0
49,2024-01-03 02:00:00,150,140,220,106,0.0,0.0,,77,9875,0.0
50,2024-01-03 03:00:00,130,130,200,107,0.0,0.0,,77,9878,0.0
51,2024-01-03 04:00:00,120,110,170,105,0.0,0.0,,81,9879,0.0
52,2024-01-03 05:00:00,110,100,170,103,0.0,0.0,,86,9881,0.0
53,2024-01-03 06:00:00,120,120,160,99,0.0,0.0,,88,9882,0.0
54,2024-01-03 07:00:00,110,120,160,100,0.0,0.0,,86,9886,0.0
55,2024-01-03 08:00:00,110,100,170,104,0.0,0.0,,83,9891,0.0
56,2024-01-03 09:00:00,100,100,150,99,50000.0,0.0,,87,9895,0.01823562417267862
57,2024-01-03 10:00:00,100,100,150,104,210000.0,0.0,,82,9899,0.04950659733718598
58,2024-01-03 11:00:00,100,100,140,107,360000.0,0.2,,79,9902,0.0673381196767801
59,2024-01-03 12:00:00,90,70,150,105,380000.0,0.0,,84,9899,0.05955497442266363
60,2024-01-03 13:00:00,90,90,130,107,330000.0,0.0,,83,9893,0.04273459163153347
61,2024-01-03 14:00:00,80,100,150,96,160000.0,0.0,,87,9890,0.014630656881334986
